Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Type,Item,Quantity
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","8314271604938271603"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","BEP-1155","NFT","169679012345679012"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0xF08B83B0bfB39caa5b108F37a3C132d4b1A271b1","","BEP-1155","NFT","12334609605822283186"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","169679012345679012"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0xF08B83B0bfB39caa5b108F37a3C132d4b1A271b1","","BEP-1155","NFT","5934101146166743"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","4397991196561382"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","BEP-1155","NFT","59341011461667429"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","8953736382313789"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0x09E4619201E6289587e398077Df9155dd99E9920","","BEP-1155","NFT","26703455157750342"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","78200000000000000"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","BEP-1155","NFT","3910000000000000000"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","BEP-1155","NFT","3910000000000000000"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0x6Da6Cb464F92AE7aD4Ec3d239c81719Cb1D0Ae03","","BEP-1155","NFT","3831800000000000000"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","0xdcFFeB0c30263888A48485a664Ec9563A54891a1","","BEP-1155","NFT","78200000000000000"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","BEP-1155","NFT","8483950617283950615"
"0x28e6896b50476fd1fff3cc72a8b32866e4c390cf9a463d877618d309f5ae083c","Success","Match Orders","114322442","2026-08-06 08:37:08","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x8BC070BEdAB741406F4B1Eb65A72bee27894B689","","BEP-1155","NFT","8483950617283950615"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x1AA9650CF03Ac8d99FDad079FdD75FA20A974142","","BEP-1155","NFT","6360000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0xc89c0792215d43fA1dFd7B6a552c9E6EB40165A7","","BEP-1155","NFT","5164583333333331896"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x5304bff05acC25D433700b27905E90d5102E96CF","","BEP-1155","NFT","2000000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x071a00b1E530147Eb3c17fE8fed9eb097d58275B","","BEP-1155","NFT","800000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0xc89c0792215d43fA1dFd7B6a552c9E6EB40165A7","","BEP-1155","NFT","6000000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x5304bff05acC25D433700b27905E90d5102E96CF","","BEP-1155","NFT","2000000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x491221e89Fd750490a5409bd6E1735E5fD67a3c1","","BEP-1155","NFT","2000000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0xc89c0792215d43fA1dFd7B6a552c9E6EB40165A7","","BEP-1155","NFT","6000000000000000000"
"0xe1150d41d501f456467d829f16e5a69f5860c3a0ace93b1fb71fe9050f69e64b","Success","Match Orders","114322442","2026-08-06 08:37:08","0xF291a67165D751A2E7B4da4F0A012449Eef0a279","","0x92F1730D4ca75167D56f9975A49D2b92610113c3","","BEP-1155","NFT","10800000000000000000"
